date,open,high,low,close,volume,return
2020-10-26,6038.4,6121.4,5993.0,6097.0,122026.0,0.0010836726651779482
2020-10-27,6095.6,6109.2,6050.0,6090.6,95537.0,-0.0010496965720845353
2020-10-28,6092.6,6138.0,6031.6,6130.4,117349.0,0.006534659967819101
2020-10-29,6082.8,6180.2,6074.6,6146.4,128659.0,0.0026099438862063895
2020-10-30,6147.8,6157.2,5983.6,5989.0,140577.0,-0.025608486268384634
2020-11-02,6008.4,6062.2,5997.2,6029.0,115071.0,0.006678911337451909
2020-11-03,6053.6,6146.2,6042.8,6120.8,124714.0,0.015226405705755619
2020-11-04,6118.2,6149.4,6050.6,6109.6,129808.0,-0.0018298261665141702
2020-11-05,6177.4,6245.4,6133.0,6234.0,146352.0,0.02036139845489071
2020-11-06,6221.4,6221.8,6119.4,6189.8,133141.0,-0.0070901507860121615
2020-11-09,6252.6,6351.8,6250.4,6283.0,141316.0,0.015057029306277947
2020-11-10,6278.4,6283.4,6190.6,6231.8,128445.0,-0.0081489734203406
2020-11-11,6230.0,6251.2,6154.0,6156.2,108024.0,-0.012131326422542554
2020-11-12,6186.2,6209.2,6146.8,6173.0,103458.0,0.002728956174263386
2020-11-13,6137.4,6180.8,6090.6,6175.2,140678.0,0.0003563907338408612
2020-11-16,6188.4,6236.6,6162.4,6235.6,115935.0,0.009781059722762109
2020-11-17,6210.8,6214.0,6162.4,6203.0,109334.0,-0.005228045416640015
2020-11-18,6205.8,6261.2,6180.6,6204.2,134790.0,0.00019345477994514582
2020-11-19,6186.8,6250.8,6159.8,6245.0,130655.0,0.0065761903226846385
2020-11-20,6251.6,6310.4,6247.0,6294.0,113426.0,0.00784627702161722
2020-11-23,6294.6,6417.0,6258.2,6356.6,122094.0,0.009945980298697199
2020-11-24,6363.0,6381.0,6332.2,6342.0,81505.0,-0.0022968253468835798
2020-11-25,6357.2,6363.6,6234.4,6248.4,110476.0,-0.014758751182592289
2020-11-26,6249.0,6254.2,6192.6,6240.0,100242.0,-0.0013443441521028276
2020-11-27,6241.2,6271.0,6160.4,6268.8,108111.0,0.004615384615384688
2020-11-30,6270.8,6324.2,6193.8,6216.4,134198.0,-0.008358856559469219
2020-12-01,6221.2,6358.4,6214.8,6329.0,124927.0,0.01811337751753439
2020-12-02,6326.8,6345.0,6281.2,6315.6,105987.0,-0.0021172381102859683
2020-12-03,6315.6,6348.8,6260.6,6335.0,108626.0,0.003071758819431114
2020-12-04,6314.6,6354.2,6273.6,6353.0,98248.0,0.0028413575374901523
2020-12-07,6352.4,6360.6,6269.4,6290.4,102300.0,-0.009853612466551254
2020-12-08,6300.4,6326.4,6279.0,6289.6,94755.0,-0.00012717792191263566
2020-12-09,6299.6,6307.8,6187.2,6197.8,114133.0,-0.014595522767743563
2020-12-10,6173.8,6223.4,6151.6,6202.2,106059.0,0.0007099293297621045
2020-12-11,6221.6,6230.6,6045.8,6088.0,132192.0,-0.0184128212569733
2020-12-14,6088.2,6134.2,6059.2,6131.4,103983.0,0.007128777923784524
2020-12-15,6110.0,6141.8,6091.2,6128.8,95330.0,-0.0004240467103759915
2020-12-16,6126.2,6136.2,6079.6,6104.6,111312.0,-0.003948570682678509
2020-12-17,6096.6,6197.8,6056.6,6192.0,150624.0,0.014317072371654138
2020-12-18,6191.8,6210.6,6112.8,6150.4,120249.0,-0.006718346253229979
2020-12-21,6147.4,6284.4,6141.6,6258.2,105124.0,0.017527315296566037
2020-12-22,6246.8,6258.6,6119.6,6150.2,109587.0,-0.017257358345850293
2020-12-23,6149.2,6221.2,6122.4,6183.4,107181.0,0.005398198432571277
2020-12-24,6167.2,6186.8,6093.0,6110.4,104013.0,-0.011805802632855689
2020-12-25,6097.0,6186.0,6090.0,6176.8,98224.0,0.010866719036397132
2020-12-28,6175.6,6191.2,6106.8,6131.8,101590.0,-0.007285325735008397
2020-12-29,6143.2,6188.4,6101.0,6117.2,95385.0,-0.0023810300401188034
2020-12-30,6117.2,6195.2,6093.4,6161.4,99396.0,0.007225528019355165
2020-12-31,6179.0,6271.6,6179.0,6257.4,108147.0,0.015580874476579964
2021-01-04,6288.0,6378.0,6246.2,6328.6,108774.0,0.011378527823057594
2021-01-05,6331.2,6384.8,6307.6,6360.2,103529.0,0.004993205448282412
2021-01-06,6382.2,6422.4,6313.2,6365.0,103839.0,0.0007546932486399704
2021-01-07,6365.0,6407.6,6319.0,6398.8,120888.0,0.00531029065200328
2021-01-08,6425.6,6474.8,6346.2,6436.2,136448.0,0.0058448459086077875
2021-01-11,6425.6,6429.0,6280.6,6327.2,133911.0,-0.016935458811099702
2021-01-12,6327.4,6395.4,6312.6,6380.8,115920.0,0.00847136173979024
2021-01-13,6390.8,6403.4,6307.6,6348.6,117299.0,-0.005046389167502441
2021-01-14,6344.8,6379.6,6277.4,6319.6,132827.0,-0.004567936237910741
2021-01-15,6316.0,6326.4,6224.2,6270.4,130480.0,-0.007785302867270194
2021-01-18,6294.2,6378.0,6260.4,6345.8,99756.0,0.012024751212043938
2021-01-19,6351.6,6371.0,6301.4,6319.0,92708.0,-0.004223265782092089
2021-01-20,6326.8,6391.4,6304.8,6381.0,97722.0,0.009811679063142842
2021-01-21,6412.4,6501.4,6405.6,6466.8,101272.0,0.01344616831217671
2021-01-22,6456.2,6474.4,6397.4,6464.4,106206.0,-0.0003711263685285404
2021-01-25,6455.0,6508.6,6406.2,6452.8,114570.0,-0.0017944434131550446
2021-01-26,6424.0,6431.6,6346.8,6377.4,101262.0,-0.01168484998760233
2021-01-27,6389.2,6403.0,6338.0,6368.4,84266.0,-0.0014112334180073072
2021-01-28,6323.2,6352.2,6258.6,6288.8,103136.0,-0.012499214873437525
2021-01-29,6305.4,6318.2,6108.6,6208.6,120462.0,-0.01275283042869857
